chr	beg	end	mid	qchr	qbeg	qend	id	gid	type
1	25000000	26000000	hs01	1	25763038	25763039	654	Zm00001d028185	cis
1	25000000	26000000	hs01	1	25763038	25763039	23470	Zm00001d022391	trans
1	25000000	26000000	hs01	1	25771072	25771073	12772	Zm00001d050735	trans
1	25000000	26000000	hs01	1	25763038	25763039	660	Zm00001d028188	cis
1	25000000	26000000	hs01	1	25873138	25873139	25161	Zm00001d010840	trans
1	25000000	26000000	hs01	1	25873138	25873139	25751	Zm00001d011796	trans
1	25000000	26000000	hs01	1	25763038	25763039	17904	Zm00001d017708	trans
1	25000000	26000000	hs01	1	25873138	25873139	16970	Zm00001d016034	trans
1	25000000	26000000	hs01	1	25873138	25873139	24132	Zm00001d008903	trans
1	25000000	26000000	hs01	1	25748842	25748843	15282	Zm00001d013259	trans
1	25000000	26000000	hs01	1	25721737	25721738	26480	Zm00001d044757	trans
1	25000000	26000000	hs01	1	25873138	25873139	21193	Zm00001d039180	trans
1	25000000	26000000	hs01	1	25873138	25873139	6515	Zm00001d004672	trans
1	25000000	26000000	hs01	1	25873138	25873139	25691	Zm00001d011704	trans
1	25000000	26000000	hs01	1	25873138	25873139	25528	Zm00001d011454	trans
1	25000000	26000000	hs01	1	25771072	25771073	8857	Zm00001d039904	trans
1	25000000	26000000	hs01	1	25873138	25873139	17297	Zm00001d016741	trans
1	25000000	26000000	hs01	1	25873138	25873139	23936	Zm00001d008597	trans
1	25000000	26000000	hs01	1	25771529	25771530	13520	Zm00001d052072	trans
1	25000000	26000000	hs01	1	25763038	25763039	23333	Zm00001d022190	trans
1	25000000	26000000	hs01	1	25771072	25771073	25075	Zm00001d010678	trans
1	25000000	26000000	hs01	1	25771072	25771073	26452	Zm00001d012765	trans
1	25000000	26000000	hs01	1	25763038	25763039	658	Zm00001d028187	cis
1	25000000	26000000	hs01	1	25873138	25873139	16813	Zm00001d015627	trans
1	25000000	26000000	hs01	1	25771529	25771530	640	Zm00001d028170	cis
1	25000000	26000000	hs01	1	25873138	25873139	14424	Zm00001d053585	trans
1	25000000	26000000	hs01	1	25748842	25748843	614	Zm00001d028129	cis
1	25000000	26000000	hs01	1	25771072	25771073	14943	Zm00001d012869	trans
1	25000000	26000000	hs01	1	25721737	25721738	19067	Zm00001d035975	trans
1	25000000	26000000	hs01	1	25763038	25763039	9285	Zm00001d040760	trans
1	25000000	26000000	hs01	1	25873138	25873139	2590	Zm00001d031572	trans
1	25000000	26000000	hs01	1	25763038	25763039	662	Zm00001d028189	cis
1	25000000	26000000	hs01	1	25771529	25771530	2395	Zm00001d031227	trans
1	25000000	26000000	hs01	1	25771529	25771530	22847	Zm00001d021557	trans
1	25000000	26000000	hs01	1	25873138	25873139	8729	Zm00001d039684	trans
1	25000000	26000000	hs01	1	25873138	25873139	14188	Zm00001d053109	trans
1	25000000	26000000	hs01	1	25873138	25873139	669	Zm00001d028197	cis
1	25000000	26000000	hs01	1	25771072	25771073	2908	Zm00001d032112	trans
1	25000000	26000000	hs01	1	25763038	25763039	16740	Zm00001d015460	trans
1	25000000	26000000	hs01	1	25771072	25771073	7203	Zm00001d006066	trans
1	25000000	26000000	hs01	1	25873138	25873139	25849	Zm00001d011945	trans
1	25000000	26000000	hs01	1	25771529	25771530	687	Zm00001d028210	cis
1	25000000	26000000	hs01	1	25771529	25771530	23975	Zm00001d008640	trans
1	25000000	26000000	hs01	1	25873138	25873139	20608	Zm00001d038504	trans
1	25000000	26000000	hs01	1	25771529	25771530	9120	Zm00001d040383	trans
1	25000000	26000000	hs01	1	25763038	25763039	672	Zm00001d028199	cis
1	25000000	26000000	hs01	1	25482525	25482526	29467	Zm00001d024567	trans
1	25000000	26000000	hs01	1	25763038	25763039	5569	Zm00001d002814	trans
