Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR424649,2012-06-09 00:00:00,2012-08-11 21:02:01,11244136,854554336,0,76,438,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424649,SRX124718,B73,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295823,SAMN00794466,simple,4577,Zea mays,B73 RNA-Seq,,,,,,,no,,,,,,SRA050451,,public,3AB98C53C125A200CC10863D7CCB9D4D,E78BDCC83F5221FDAE572BE98974C30C
SRR424650,2012-06-09 00:00:00,2012-08-11 21:02:17,19430016,1476681216,0,76,913,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424650,SRX124718,B73,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295823,SAMN00794466,simple,4577,Zea mays,B73 RNA-Seq,,,,,,,no,,,,,,SRA050451,,public,0AB0E8DBAE7EC4AA45165849F880FCB1,572D605CA5B9E4250E8FE4DEE42FFFFB
SRR424651,2012-06-09 00:00:00,2012-08-11 21:02:11,15894756,1208001456,0,76,620,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424651,SRX124719,B97,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295824,SAMN00794467,simple,4577,Zea mays,B97,,,,,,,no,,,,,,SRA050451,,public,20AC075C642FE3DB21490C592413E1DB,BD558B774AE38FC02C719A5848BE73BF
SRR424652,2012-06-09 00:00:00,2012-08-11 21:02:18,11405147,866791172,0,76,536,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424652,SRX124719,B97,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295824,SAMN00794467,simple,4577,Zea mays,B97,,,,,,,no,,,,,,SRA050451,,public,3A5B9476133B3B96B4EBD07E0610BEFE,ADDA3333C1AB7130AD8C6CB79DBC9F8B
SRR424653,2012-06-09 00:00:00,2012-08-11 21:02:11,9635859,732325284,0,76,365,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424653,SRX124720,CML103,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295825,SAMN00794468,simple,4577,Zea mays,CML103,,,,,,,no,,,,,,SRA050451,,public,C1C333C950AFF05FFD51E3A4B47B259F,335C3B48126F1C756D84500427C7B89B
SRR424654,2012-06-09 00:00:00,2012-08-11 21:02:25,11563191,878802516,0,76,602,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424654,SRX124720,CML103,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295825,SAMN00794468,simple,4577,Zea mays,CML103,,,,,,,no,,,,,,SRA050451,,public,751B13C75BE82C7FB28B527CD2C44BCF,5FDA2715EEBC5DE04513D4247C98EDDC
SRR424655,2012-06-09 00:00:00,2012-08-11 21:02:13,7112976,540586176,0,76,269,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424655,SRX124721,CML228,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295826,SAMN00794469,simple,4577,Zea mays,CML228,,,,,,,no,,,,,,SRA050451,,public,2FB883894DF3C85B805F18DBB9F642B0,5366BB3FB12757D19DD6D221D6AF2CC1
SRR424656,2012-06-09 00:00:00,2012-08-11 21:02:19,6420860,487985360,0,76,281,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424656,SRX124721,CML228,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295826,SAMN00794469,simple,4577,Zea mays,CML228,,,,,,,no,,,,,,SRA050451,,public,9D19BF5644F8D9331E22019872CF4046,127CF7ABEEBD06542AB001C239761D4E
SRR424657,2012-06-09 00:00:00,2012-08-11 21:02:25,12440546,945481496,0,76,472,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424657,SRX124722,CML247,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295827,SAMN00794470,simple,4577,Zea mays,CML247,,,,,,,no,,,,,,SRA050451,,public,A59CB8185354AEC450AEADF8C36265B5,D6241EE1F2915DC41017114EE917EF1F
SRR424658,2012-06-09 00:00:00,2012-08-11 21:03:01,16865326,1281764776,0,76,875,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000414/SRR424658,SRX124722,CML247,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011187,,,0,SRS295827,SAMN00794470,simple,4577,Zea mays,CML247,,,,,,,no,,,,,,SRA050451,,public,3846721D097CF5D2D0A330BC25C0823B,6B628A0363B5903220E2A4BD525894C1
