id	gid	gchr.g	gpos.g	gchr.p	gpos.p	qchr.g	marker	qpos.g	qleft.g	qright.g	qchr.p	qpos.p	LOD	ADD	Rsqure	type
1	GRMZM2G059865	1	0.0 	1	7253 	1	2	0.0 	0.0 	1.0 	1	502652	83.93 	27.89 	0.92 	cis
2	GRMZM2G059865	1	0.0 	1	7253 	6	11	43.7 	42.7 	44.0 	6	2486084	47.04 	-11.66 	0.16 	trans
3	GRMZM2G059865	1	0.0 	1	7253 	4	407	467.3 	462.3 	468.2 	4	158031548	6.89 	-5.07 	0.01 	trans
4	GRMZM5G888250	1	0.0 	1	10135 	1	2	0.0 	0.0 	1.0 	1	502652	38.34 	1.48 	0.66 	cis
5	GRMZM5G888250	1	0.0 	1	10135 	4	190	258.4 	258.1 	259.3 	4	18003048	4.58 	-0.53 	0.03 	trans
6	GRMZM2G093344	1	0.0 	1	110644 	1	2	0.0 	0.0 	1.0 	1	502652	44.15 	-1.65 	0.84 	cis
7	GRMZM5G809743	1	0.0 	1	144509 	1	2	0.0 	0.0 	1.0 	1	502652	70.94 	10.38 	0.89 	cis
8	GRMZM5G833153	1	0.0 	1	145302 	1	2	0.0 	0.0 	1.0 	1	502652	28.52 	3.16 	0.62 	cis
9	GRMZM5G833153	1	0.0 	1	145302 	2	422	536.2 	535.2 	536.4 	2	157945403	6.12 	3.76 	0.11 	trans
10	GRMZM2G330436	1	0.0 	1	521422 	1	2	0.0 	0.0 	2.4 	1	502652	6.91 	0.41 	0.18 	cis
11	GRMZM2G330436	1	0.0 	1	521422 	3	377	497.6 	496.7 	499.8 	3	142106281	4.84 	0.37 	0.12 	trans
12	GRMZM2G032104	1	0.2 	1	648351 	1	2	0.0 	0.0 	1.0 	1	502652	85.38 	4.44 	0.96 	cis
13	GRMZM2G399700	1	0.3 	1	679784 	1	2	0.0 	0.0 	1.0 	1	502652	51.46 	2.93 	0.70 	cis
14	GRMZM2G399700	1	0.3 	1	679784 	4	407	467.3 	466.3 	467.8 	4	158031548	13.17 	-2.88 	0.06 	trans
15	GRMZM2G073979	1	0.8 	1	998519 	1	10	4.3 	2.7 	6.4 	1	2560184	6.84 	-0.72 	0.23 	cis
16	GRMZM2G374777	1	0.8 	1	1000420 	9	282	330.6 	325.2 	330.9 	9	98785070	5.73 	-0.08 	0.16 	trans
17	GRMZM2G374777	1	0.8 	1	1000420 	1	1186	1226.1 	1225.1 	1233.4 	1	290958988	4.39 	0.07 	0.12 	trans
18	GRMZM2G374779	1	0.8 	1	1003402 	7	231	324.4 	324.0 	325.1 	7	115517328	7.48 	-0.75 	0.21 	trans
19	GRMZM2G374812	1	0.8 	1	1005122 	1	2	0.0 	0.0 	8.4 	1	502652	6.53 	0.23 	0.18 	cis
20	GRMZM2G374812	1	0.8 	1	1005122 	9	538	593.7 	589.0 	599.5 	9	148945174	4.46 	-0.20 	0.12 	trans
21	GRMZM2G483779	1	1.1 	1	1158282 	1	3	1.0 	0.0 	2.4 	1	1473769	8.59 	-0.58 	0.20 	cis
22	GRMZM2G483779	1	1.1 	1	1158282 	3	421	544.3 	540.5 	549.3 	3	159379683	6.29 	0.51 	0.16 	trans
23	GRMZM2G026639	1	1.1 	1	1199413 	7	599	758.7 	753.3 	767.1 	7	174238317	4.25 	-0.34 	0.12 	trans
24	AC193500.3_FG003	1	2.1 	1	1780814 	1	3	1.0 	0.0 	2.4 	1	1473769	62.70 	-0.85 	0.86 	cis
25	AC193500.3_FG003	1	2.1 	1	1780814 	10	444	529.2 	522.6 	534.5 	10	142792885	4.86 	0.13 	0.01 	trans
26	GRMZM2G161540	1	2.1 	1	1781448 	1	3	1.0 	0.0 	2.4 	1	1473769	54.58 	-0.38 	0.75 	cis
27	GRMZM2G161560	1	2.1 	1	1788676 	1	10	4.3 	2.7 	6.4 	1	2560184	11.90 	-9.45 	0.32 	cis
28	GRMZM2G060296	1	2.4 	1	1966556 	1	8	3.3 	0.0 	4.3 	1	2090034	15.60 	3.52 	0.40 	cis
29	GRMZM2G164696	1	2.7 	1	2038935 	1	8	3.3 	2.4 	4.3 	1	2090034	26.51 	33.87 	0.48 	cis
30	GRMZM2G164696	1	2.7 	1	2038935 	3	776	957.5 	956.3 	963.4 	3	215225911	4.27 	-13.66 	0.04 	trans
31	GRMZM2G703466	1	2.7 	1	2045064 	1	10	4.3 	2.7 	6.4 	1	2560184	28.10 	-0.85 	0.60 	cis
32	GRMZM2G114469	1	2.8 	1	2088700 	1	8	3.3 	0.0 	4.3 	1	2090034	18.16 	-0.59 	0.37 	cis
33	GRMZM2G114469	1	2.8 	1	2088700 	2	151	222.0 	215.9 	226.5 	2	11542306	4.38 	-0.25 	0.07 	trans
34	GRMZM2G114459	1	2.8 	1	2097571 	1	10	4.3 	2.4 	10.3 	1	2560184	8.50 	-1.03 	0.26 	cis
35	GRMZM2G458423	1	3.0 	1	2165020 	1	8	3.3 	2.4 	4.3 	1	2090034	54.29 	0.36 	0.88 	cis
36	GRMZM2G458423	1	3.0 	1	2165020 	3	749	933.5 	928.0 	936.5 	3	211870274	5.48 	0.06 	0.02 	trans
37	GRMZM2G410990	1	3.2 	1	2223554 	1	590	588.0 	581.3 	594.0 	1	174769584	5.45 	0.32 	0.14 	trans
38	GRMZM2G329177	1	3.8 	1	2431995 	4	409	468.2 	466.3 	470.8 	4	159085915	12.25 	-1.15 	0.32 	trans
39	GRMZM2G028870	1	4.0 	1	2468299 	1	10	4.3 	2.4 	7.4 	1	2560184	29.25 	0.37 	0.59 	cis
40	GRMZM2G035377	1	4.5 	1	2658924 	1	10	4.3 	0.0 	9.6 	1	2560184	4.38 	-0.09 	0.11 	cis
41	GRMZM2G085691	1	4.6 	1	2689136 	1	2	0.0 	0.0 	2.4 	1	502652	14.71 	0.35 	0.33 	cis
42	GRMZM2G085691	1	4.6 	1	2689136 	5	747	911.7 	909.7 	917.5 	5	214414743	5.32 	0.18 	0.10 	trans
43	GRMZM2G085827	1	4.8 	1	2732036 	1	12	7.4 	4.3 	9.6 	1	2817818	13.11 	0.40 	0.37 	cis
44	GRMZM2G085827	1	4.8 	1	2732036 	8	565	719.0 	712.0 	722.2 	8	167880622	5.30 	-0.24 	0.12 	trans
45	GRMZM2G085872	1	4.8 	1	2738916 	1	8	3.3 	0.0 	4.3 	1	2090034	11.82 	0.24 	0.25 	cis
46	GRMZM2G085872	1	4.8 	1	2738916 	4	746	875.0 	872.4 	878.5 	4	238050892	4.55 	-0.14 	0.08 	trans
47	GRMZM2G086242	1	4.8 	1	2744704 	3	697	864.5 	853.2 	871.1 	3	205278692	4.83 	-0.06 	0.15 	trans
48	GRMZM2G085885	1	4.8 	1	2746119 	1	14	8.4 	5.8 	9.6 	1	2856423	53.39 	3.25 	0.83 	cis
49	GRMZM2G042552	1	5.7 	1	2784999 	8	590	752.6 	745.9 	758.6 	8	169791470	4.89 	-0.46 	0.14 	trans
50	GRMZM2G042552	1	5.7 	1	2784999 	10	579	731.4 	726.0 	737.7 	10	148687399	4.55 	0.41 	0.13 	trans
51	GRMZM2G042539	1	5.8 	1	2787311 	7	513	620.6 	619.6 	621.6 	7	164908818	38.44 	1.57 	0.67 	trans
52	GRMZM2G042250	1	6.0 	1	2797185 	1	10	4.3 	0.0 	7.4 	1	2560184	13.45 	4.12 	0.37 	cis
53	GRMZM2G041881	1	6.1 	1	2802529 	1	10	4.3 	3.3 	6.4 	1	2560184	26.63 	4.08 	0.65 	cis
